,固定式交通技术监控设备设置点位表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,单位：北京市公安局公安交通管理局,,,时间：2016.1.29,,
1,序号,区县,名称,检测、行驶方向,相交道路,
2,1,西城,北新华街东绒线胡同口北,南向北,东绒线胡同,北新华街
3,2,机场,首都机场路与航安北路东口,北向南,首都机场路,航安北路
4,3,机场,首都机场路与航安北路东口,南向北,首都机场路,航安北路
5,4,机场,首都机场路与飞机维修路口,北向南,首都机场路,
6,5,机场,首都机场路与飞机维修路口,南向北,首都机场路,
7,6,机场,首都机场路与航平西路口,北向南,首都机场路,航安西路
8,7,机场,首都机场路与航平西路口,南向北,首都机场路,航安西路
9,8,机场,首都机场路与航平西路口（辅路）,北向南,首都机场路,航安西路
10,9,机场,首都机场路与航平西路口（辅路）,南向北,首都机场路,航安西路
11,10,平谷,白马路（平瑞街）53公里处,西向东,平瑞街,
12,11,丰台,邮件处理中心门口,全方向,莲花池东路,
13,12,丰台,西天桥下公交道入口,全方向,西站北广场,
14,13,丰台,会城门出租车调度站入口,全方向,莲花池东路,
15,14,丰台,东坡道出口,全方向,西站北广场,
16,15,丰台,东一口,全方向,西站北广场,
17,16,丰台,广莲路西南红绿灯,全方向,,西站南路
18,17,丰台,中盐大厦东,全方向,广安路,西站南路
