,序号,区县,名   称,方向,相交道路,Unnamed: 5
0,1,东城,东四南大街演乐胡同西口北,全方向,东四南大街,演乐胡同
1,2,东城,雍和宫大街,全方向,雍和宫大街,
2,3,东城,雍和宫大街41号门前,全方向,雍和宫大街,
3,4,东城,雍和宫大街75号门前,全方向,雍和宫大街,
4,5,东城,雍和宫大街40号门前,全方向,雍和宫大街,
5,6,东城,雍和宫大街52号门前,全方向,雍和宫大街,
6,7,东城,雍和宫大街177号门前,全方向,雍和宫大街,
7,8,东城,雍和宫大街277号门前,全方向,雍和宫大街,
8,9,东城,南河沿大街,全方向,南河沿大街、北河沿大街,东华门大街、东安门大街、东长安街
9,10,东城,翠明庄宾馆门前,全方向,南河沿大街,
10,11,东城,南河沿大街9号门前,全方向,南河沿大街,
11,12,东城,南河沿大街39-1号门前,全方向,南河沿大街,
12,13,东城,南河沿大街南口,全方向,南河沿大街,
13,14,东城,霞公府街西口对面,全方向,南河沿大街,
14,15,东城,南河沿公交站,全方向,南河沿大街,
15,16,东城,南河沿大街19号对面,全方向,南河沿大街,
16,17,东城,南河沿大街北口东北角,全方向,南河沿大街、北河沿大街,东华门大街、东安门大街
17,18,东城,北河沿大街,全方向,北河沿大街、南河沿大街,东安门大街、东华门大街、五四大街、地安门东大街
18,19,东城,北河沿大街北口西南角,全方向,北河沿大街,地安门东大街
19,20,东城,银闸胡同东口,全方向,北河沿大街,
20,21,东城,亮果场公交站南,全方向,北河沿大街,
21,22,东城,东华门幼儿园对面,全方向,北河沿大街,
22,23,东城,65中门前,全方向,北河沿大街,
23,24,东城,灯市口西街西口,全方向,北河沿大街,灯市口西街
24,25,东城,国家文物局对面,全方向,北河沿大街,
25,26,东城,御京花园南门东,全方向,北河沿大街,
26,27,东城,东华门大街,全方向,南河沿大街、北河沿大街、南池子大街、北池子大街,东华门大街
27,28,东城,东华门大街16号,全方向,东华门大街,
28,29,东城,南池子大街,全方向,南池子大街、北池子大街,东长安街、东华门大街
29,30,东城,菖蒲河公园北侧停车场,全方向,南池子大街,
30,31,东城,缎库胡同西口,全方向,南池子大街,
31,32,东城,南池子大街43-1号,全方向,南池子大街,
32,33,东城,南池子大街7号,全方向,南池子大街,
33,34,东城,北池子大街,全方向,北池子大街、南池子大街,五四大街、景山前街
34,35,东城,北池子大街100号,全方向,北池子大街,
35,36,东城,北池子大街60号,全方向,北池子大街,
36,37,东城,骑河楼街西口,全方向,北池子大街,骑河楼街
37,38,东城,北池子大街甲4号,全方向,北池子大街,
38,39,东城,北池子大街北口,全方向,北池子大街,五四大街、景山前街
39,40,东城,景山东街南口,全方向,景山东街,景山前街
40,41,东城,安定门内大街,全方向,安定门内大街,安定门东大街、安定门西大街、鼓楼东大街、交道口东大街
41,42,东城,安定门内大街50号,全方向,安定门内大街,
42,43,东城,安定门内大街293号,全方向,安定门内大街,
43,44,东城,安定门内大街320号,全方向,安定门内大街,
44,45,东城,安定门内大街302号,全方向,安定门内大街,
45,46,东城,安定门内大街270号,全方向,安定门内大街,
46,47,东城,安定门内大街118-1号,全方向,安定门内大街,
47,48,东城,鼓楼东大街,全方向,地安门外大街、安定门内大街、交道口南大街,鼓楼东大街、交道口东大街
48,49,东城,鼓楼东大街354号,全方向,鼓楼东大街,
49,50,东城,鼓楼东大街272-1号,全方向,鼓楼东大街,
50,51,东城,鼓楼东大街144号,全方向,鼓楼东大街,
51,52,东城,鼓楼东大街88号,全方向,鼓楼东大街,
52,53,东城,鼓楼东大街20号,全方向,鼓楼东大街,
53,54,东城,鼓楼东大街3-1号,全方向,鼓楼东大街,
54,55,东城,鼓楼东大街77号,全方向,鼓楼东大街,
55,56,东城,鼓楼东大街179号,全方向,鼓楼东大街,
56,57,东城,鼓楼东大街225号,全方向,鼓楼东大街,
57,58,东城,鼓楼东大街309号,全方向,鼓楼东大街,
58,59,东城,灯市口大街,全方向,东四南大街、王府井大街,灯市口大街、灯市口西街
59,60,东城,天伦王朝酒店门前,全方向,灯市口大街,
60,61,东城,国中商业大厦门前,全方向,灯市口大街,
61,62,东城,景山学校门前,全方向,灯市口大街,
62,63,东城,灯市口大街25号楼门前,全方向,灯市口大街,
63,64,东城,灯市口西街世纪大厦西南角,全方向,灯市口西街,
