,序号,区县,名   称,方向,相交道路,Unnamed: 5
62,63,东城,安定门桥西北引桥西桥头二环路旁,外环方向,安定门西大街,
63,64,东城,安定门桥东北引桥东桥头二环路旁,外环方向,安定门东大街,
64,65,东城,龙潭湖东门向南200米,全方向,龙潭东路,
65,66,东城,左安门内大街与龙潭东路交叉口,全方向,左安门内大街,
66,67,东城,左安门内大街左安漪园小区9号楼南,全方向,左安门内大街,
67,68,东城,左安门内大街左安漪园小区9号楼北,全方向,左安门内大街,
68,69,东城,左安门内大街左安漪园门口,全方向,左安门内大街,
69,70,东城,左安门内大街左安漪园小区2号楼旁,全方向,左安门内大街,
70,71,东城,左安门内大街北京崇建工程有限公司旁,全方向,左安门内大街,
71,72,东城,左安门内大街北京崇建工程有限公司北侧,全方向,左安门内大街,
72,73,东城,左安门内大街龙潭湖体育馆旁,全方向,左安门内大街,
73,74,东城,左安门内大街甲1号,全方向,左安门内大街,
74,75,东城,左安门内大街向新西里7号楼旁,全方向,左安门内大街,
75,76,东城,左安门内大街左安浦园门口,全方向,左安门内大街,
76,77,东城,左安门内大街左安浦园小区3号楼旁,全方向,左安门内大街,
77,78,东城,左安门内大街左安浦园小区6号楼旁,全方向,左安门内大街,
78,79,东城,左安门西街少年宫门口东侧,全方向,左安门西街,
79,80,东城,左安门西街北京市少年宫门口,全方向,左安门西街,
80,81,东城,左安门西街北京市少年宫西侧,全方向,左安门西街,
81,82,东城,左安门西街北京教学植物园门口,全方向,左安门西街,
82,83,东城,左安门西街北京昌华德汽车有限公司东侧,全方向,左安门西街,
83,84,东城,左安门西街北京昌华德汽车有限公司西侧,全方向,左安门西街,
84,85,东城,左安门西街东城区消防支队东侧,全方向,左安门西街,
85,86,东城,左安门西街东城区消防支队门口,全方向,左安门西街,
86,87,东城,左安门西街北京市东城区绿化二队养护部旁,全方向,左安门西街,
87,88,东城,左安门西街北京市东城区绿化二队养护部西侧,全方向,左安门西街,
88,89,东城,左安门西街左安门西街西口,全方向,左安门西街,
89,90,东城,左安门西街北京市东城区绿化二队养护部西侧,全方向,左安门西街,
90,91,东城,左安门西街北京市东城区绿化二队养护部门口,全方向,左安门西街,
91,92,东城,左安门西街北京市东城区消防支队门口,全方向,左安门西街,
92,93,东城,左安门西街北京市东城区消防支队东侧,全方向,左安门西街,
93,94,东城,左安门西街绿化三大队门口,全方向,左安门西街,
94,95,东城,左安门西街北京市昌华德汽车有限责任公司门口,全方向,左安门西街,
95,96,东城,左安门西街北京市昌华德汽车有限责任公司东侧,全方向,左安门西街,
96,97,东城,左安门西街北京教学植物园门口,全方向,左安门西街,
97,98,东城,左安门西街北京市少年宫西侧,全方向,左安门西街,
98,99,东城,左安门西街北京市少年宫门口,全方向,左安门西街,
99,100,东城,左安门西街北京市少年宫东门,全方向,左安门西街,
100,101,东城,左安门西街向新西里门口,全方向,左安门西街,
101,102,东城,左安门西街向新西里22号楼东侧,全方向,左安门西街,
102,103,东城,铁路沿线龙潭西湖东侧,全方向,左安门西街,
103,104,东城,向新西里22号楼,全方向,左安门西街,
104,105,东城,大港油田门口东侧,全方向,左安门西街,
105,106,东城,滨河东路西,全方向,左安门西街,
106,107,东城,滨河东路,全方向,左安门西街,
107,108,东城,少年宫门口,全方向,左安门西街,
108,109,东城,左安门西街路游乐,全方向,左安门西街,
109,110,东城,左安门西街北京少年宫门口,全方向,左安门西街,
110,111,东城,左安门路口向西100米,全方向,左安门西街,
111,112,东城,少年宫门口向西200米,全方向,左安门西街,
112,113,东城,北京游乐园门口,全方向,左安门西街,
113,114,东城,和平里中街12号东侧,全方向,和平里中街,
114,115,东城,天元和平商业大厦对面,全方向,和平里中街,
115,116,东城,和平里中街10号路南东侧,全方向,和平里中街,
116,117,东城,和平里中街3-8号对面,全方向,和平里中街,
117,118,东城,和平里中街东口路南,全方向,和平里中街,
118,119,东城,和平里中街25号东侧路北,全方向,和平里中街,
119,120,东城,和平里中街甲27号门前,全方向,和平里中街,
120,121,东城,和平里中街甲37号门前,全方向,和平里中街,
121,122,东城,和平里中街路灯杆T20034号旁,全方向,和平里中街,
122,123,东城,和平里中街16号门前,全方向,和平里中街,
123,124,东城,江苏大厦门前,全方向,和平里中街,
124,125,东城,安定门外大街116号楼前,全方向,和平里中街,
125,126,东城,和庆斋门前,全方向,青年沟路,
126,127,东城,青年沟路与兴化路交叉口西南角,全方向,青年沟路,
127,128,东城,金月轩门前,全方向,青年沟路,
128,129,东城,化工社区4号楼前,全方向,青年沟路,
129,130,东城,和平里七区30号楼前,全方向,青年沟路,
130,131,东城,和平里七区32号楼前,全方向,青年沟路,
131,132,东城,和平里七区33号楼前,全方向,青年沟路,
132,133,东城,东四北大街43号前,全方向,东四北大街,
133,134,东城,东四北大街与板桥南巷交叉口,全方向,东四北大街,
134,135,东城,东四北大街74-1号门前,全方向,东四北大街,
135,136,东城,细管胡同北侧,全方向,东四北大街,
136,137,东城,东四北大街108号门前,全方向,东四北大街,
137,138,东城,东四北大街166号门前,全方向,东四北大街,
138,139,东城,张自忠地铁站D口,全方向,东四北大街,
139,140,东城,东四北大街250-1号门前,全方向,东四北大街,
140,141,东城,东四北大街303-6号门前,全方向,东四北大街,
141,142,东城,东四北大街甲343号门前,全方向,东四北大街,
142,143,东城,东四北大街449号门前,全方向,东四北大街,
143,144,东城,东四北大街南过街天桥南100米处,全方向,东四北大街,
144,145,东城,外交部西门,全方向,朝阳门北大街,
145,146,朝阳,金桐西路北口南100米路西,全方向,金桐西路,
146,147,朝阳,金桐西路北口南100米路东,全方向,金桐西路,
147,148,朝阳,金桐西路与景华北街交叉口,北向南,金桐西路,景华北街
148,149,朝阳,金桐西路与景华北街交叉口北25米路西,北向南,金桐西路,
149,150,朝阳,金桐西路与景华北街交叉口南10米路西,全方向,金桐西路,
150,151,朝阳,金桐西路与景华北街交叉口,西向东,金桐西路,景华北街
151,152,朝阳,金桐西路与景华北街交叉口西25米路南,西向东,景华北街,
152,153,朝阳,景华北街SOHO尚都北塔北侧,全方向,景华北街,
153,154,朝阳,金桐西路与景华北街交叉口南25米路东,全方向,金桐西路,
154,155,朝阳,金桐西路与景华北街交叉口,南向北,金桐西路,景华北街
155,156,朝阳,金桐西路与景华北街交叉口东5米路南,全方向,景华北街,
156,157,朝阳,金桐西路与景华北街交叉口东25米路北,全方向,景华北街,
157,158,朝阳,金桐西路与景华北街交叉口,东向西,金桐西路,景华北街
158,159,朝阳,景华北街万通中心C座南侧,全方向,景华北街,
159,160,朝阳,金桐西路新城国际小区西门,全方向,金桐西路,
160,161,朝阳,金桐西路远洋光华国际西侧,全方向,金桐西路,
161,162,朝阳,金桐西路世贸天阶人行横道,南向北,金桐西路,
162,163,朝阳,金桐西路世贸天阶人行横道,北向南,金桐西路,
163,164,朝阳,金桐西路时尚大厦东侧,北向南,金桐西路,
164,165,朝阳,金桐西路天阶大厦东侧,全方向,金桐西路,
165,166,朝阳,金桐西路SOHO南塔东侧,全方向,金桐西路,
166,167,朝阳,金桐西路与景华南街交叉口北25米路西,全方向,金桐西路,
167,168,朝阳,金桐西路与景华南街交叉口,北向南,金桐西路,景华南街
168,169,朝阳,金桐西路与景华南街交叉口北5米路东,全方向,金桐西路,
169,170,朝阳,金桐西路与景华南街交叉口西25米路南,全方向,景华南街,
170,171,朝阳,金桐西路与景华南街交叉口,西向东,金桐西路,景华南街
171,172,朝阳,金桐西路与景华南街交叉口南25米路东,全方向,金桐西路,景华南街
172,173,朝阳,金桐西路与景华南街交叉口,南向北,金桐西路,景华南街
173,174,朝阳,金桐西路与景华南街交叉口东25米路北,全方向,景华南街,
174,175,朝阳,金桐西路与景华南街交叉口,东向西,金桐西路,景华南街
175,176,朝阳,景华南街世纪财富中心西北角,全方向,景华南街,
176,177,朝阳,光华路与金桐西路交叉口北25路西,全方向,金桐西路,光华路
177,178,朝阳,光华路与金桐西路交叉口,西向东,金桐西路,光华路
178,179,朝阳,光华路与金桐西路交叉口南,西向东,光华路,
179,180,朝阳,光华路与金桐西路交叉口东15米路南,全方向,光华路,
180,181,朝阳,光华路与金桐西路交叉口东25米路北,全方向,光华路,
181,182,朝阳,光华路与金桐西路交叉口,东向西,金桐西路,光华路
182,183,朝阳,光华路SOHU2期南门,全方向,光华路,
183,184,朝阳,光华路与东大桥路路口东40米路北,全方向,光华路,
184,185,朝阳,光华路SOHU1期北门,全方向,光华路,
185,186,朝阳,光华路汉威大厦人行横道,西向东,光华路,
186,187,朝阳,光华路汉威大厦人行横道西10米路南,全方向,光华路,
187,188,朝阳,光华路汉威大厦人行横道,东向西,光华路,
188,189,朝阳,光华路汉威大厦人行横道东25米路北,全方向,光华路,
189,190,朝阳,光华路与金桐东路交叉口,西向东,金桐东路,光华路
190,191,朝阳,光华路与金桐东路交叉口西25米路南,西向东,光华路,
191,192,朝阳,光华路与金桐东路交叉口,北向南,金桐东路,光华路
192,193,朝阳,光华路与金桐东路交叉口北25米路西,北向南,金桐东路,
193,194,朝阳,光华路与金桐东路交叉口北10米路东,全方向,金桐东路,
194,195,朝阳,光华路与金桐东路交叉口南10米路西,全方向,金桐东路,
195,196,朝阳,光华路与金桐东路交叉口,南向北,金桐东路,光华路
196,197,朝阳,光华路与金桐东路交叉口南25米路东,南向北,金桐东路,
197,198,朝阳,光华路与金桐东路交叉口东10米路南,全方向,光华路,
198,199,朝阳,光华路与金桐东路交叉口,东向西,金桐东路,光华路
199,200,朝阳,光华路与金桐东路交叉口东25米路北,全方向,光华路,
200,201,朝阳,光华路数码01大厦北门,全方向,光华路,
201,202,朝阳,光华路数码01大厦北门东40米,全方向,光华路,
202,203,朝阳,光华路新国贸饭店北侧,全方向,光华路,
203,204,朝阳,光华路嘉里中心南侧,全方向,光华路,
204,205,朝阳,景华南街东口西30米路南,全方向,景华南街,
205,206,朝阳,景华南街与金富路交叉口西25米路南,全方向,景华南街,
206,207,朝阳,金桐东路与景华南街交叉口,西向东,金桐东路,景华南街
207,208,朝阳,金桐东路与景华南街交叉口,南向北,金桐东路,景华南街
208,209,朝阳,金桐东路与景华南街交叉口南25米路东,南向北,金桐东路,
209,210,朝阳,金桐东路与景华南街交叉口,西向东,金桐东路,景华南街
210,211,朝阳,金桐东路与景华南街交叉口西25米路南,全方向,景华南街,
211,212,朝阳,金桐东路与景华南街交叉口,北向南,金桐东路,景华南街
212,213,朝阳,金桐东路与景华南街交叉口北25米路西,全方向,金桐东路,
213,214,朝阳,金桐东路与景华南街交叉口北10米路东,全方向,金桐东路,
214,215,朝阳,金桐东路与景华街交叉口,南向北,金桐东路,景华街
215,216,朝阳,金桐东路与景华街交叉口南25米路东,全方向,金桐东路,
216,217,朝阳,金桐东路与景华街交叉口南10米路西,全方向,金桐东路,
217,218,朝阳,金桐东路与景华街交叉口,东向西,金桐东路,景华街
218,219,朝阳,金桐东路与景华街交叉口东25米路南,全方向,景华街,
219,220,朝阳,金桐东路与景华街交叉口北20米路东,全方向,金桐东路,
220,221,朝阳,金桐东路与景华街交叉口,北向南,金桐东路,景华街
221,222,朝阳,金桐东路与景华街交叉口北25米路西,全方向,金桐东路,
222,223,朝阳,景华街与金富路交叉口西南角,全方向,金富路,景华街
223,224,朝阳,景华街财富中心北侧,全方向,景华街,
224,225,朝阳,金桐东路与兆丰街交叉口,南向北,金桐东路,兆丰街
225,226,朝阳,金桐东路与兆丰街交叉口南25米路东,全方向,金桐东路,
226,227,朝阳,金桐东路与兆丰街交叉口,北向南,金桐东路,兆丰街
227,228,朝阳,金桐东路与兆丰街交叉口北25米路西,全方向,金桐东路,
228,229,朝阳,金桐东路环球金融中心西侧,全方向,金桐东路,
229,230,朝阳,兆丰街财富购物中心北侧,全方向,兆丰街,
230,231,朝阳,兆丰街东口财富中心北侧,全方向,兆丰街,
231,232,朝阳,屏翠东路与广泽路交叉口东50米南侧,全方向,屏翠东路,
232,233,朝阳,屏翠东路与利泽东一路交叉口西,全方向,屏翠东路,
233,234,朝阳,屏翠东路与利泽东二路交叉口西100米,全方向,屏翠东路,
234,235,朝阳,屏翠东路与利泽东二路交叉口,西向东,屏翠东路,
235,236,朝阳,屏翠东路与利泽东二路交叉口西30米,东向西 ,屏翠东路,
236,237,朝阳,屏翠东路与利泽东二路交叉口,南向北,屏翠东路,
237,238,朝阳,屏翠东路与利泽东二路交叉口东100米,全方向,屏翠东路,
238,239,朝阳,利泽东街5号院2号门门前,全方向,屏翠东路,
239,240,朝阳,屏翠东路与利泽东街交叉口东50米,全方向,屏翠东路,
240,241,海淀,五环路西黄村桥北,外环,五环路,
241,242,丰台,范家庄北路东口,东向西,槐房西路,范家庄北路
242,243,丰台,范家庄北路东口,西向东,槐房西路,范家庄北路
243,244,丰台,范家庄北路东口,南向北,槐房西路,范家庄北路
244,245,丰台,范家庄北路东口,北向南,槐房西路,范家庄北路
245,246,丰台,范家庄北路中口,东向西,范家庄北路,
246,247,丰台,范家庄北路中口,西向东,范家庄北路,
247,248,丰台,范家庄北路路口,东向西,范家庄西路,范家庄北路
248,249,丰台,范家庄北路路口,南向北,范家庄西路,范家庄北路
249,250,丰台,范家庄北路路口,北向南,范家庄西路,范家庄北路
250,251,丰台,小屯路南人行过街,南向北,小屯路,
251,252,丰台,小屯路南人行过街,北向南,小屯路,
252,253,丰台,蒲芳路方庄南口交通银行对面,全方向,蒲芳路,
253,254,丰台,芳古路与群星路交叉口南侧路东,全方向,芳古路,
254,255,丰台,芳古路方庄市场北路西侧,全方向,芳古路,
255,256,丰台,芳古路与芳城路交叉口南侧路西,全方向,芳古路,
256,257,丰台,六里桥南路与为民街交叉口,南向北,六里桥南路为民街,
257,258,丰台,六里桥南路与京港澳高速G4辅路西侧,全方向,京港澳高速G4辅路,京港澳高速G4辅路
258,259,大兴,双河北里三巷与双河北里四巷交口,南向北,双河北里四巷,双河北里三巷
259,260,大兴,双河北里三巷与双河北里四巷交口,西向东,双河北里四巷,双河北里三巷
260,261,大兴,双河北里四巷与双河北里五巷交口,东向西,双河北里四巷,双河北里五巷
261,262,大兴,双河北里四巷与双河北里五巷交口,南向北,双河北里四巷,双河北里五巷
262,263,大兴,双河北里四巷与双河北里五巷交口,北向南,双河北里四巷,双河北里五巷
263,264,大兴,双河北里五巷与双河北里东街交口,西向东,双河北里东街,双河北里五巷
264,265,大兴,双河北里五巷与双河北里东街交口,南向北,双河北里东街,双河北里五巷
265,266,大兴,盛意街与海鑫路北路交口,东向西,盛意街,海鑫路北路
266,267,大兴,盛意街与海鑫路北路交口,西向东,盛意街,海鑫路北路
267,268,大兴,物顺南路与盛吉街交口,南向北,盛吉街,物顺南路
268,269,大兴,物顺南路与盛祥街交口,东向西,盛祥街,物顺南路
269,270,大兴,物顺南路与盛祥街交口,西向东,盛祥街,物顺南路
270,271,大兴,物顺南路与盛豫街交口,南向北,盛豫街,物顺南路
271,272,大兴,物顺南路与盛豫街交口,西向东,盛豫街,物顺南路
272,273,大兴,盛意街与物顺南路交口,北向南,盛意街,物顺南路
273,274,大兴,海鑫路与盛意街交口,东向西,盛意街,海鑫路
274,275,大兴,海鑫路与盛意街交口,西向东,盛意街,海鑫路
275,276,大兴,海鑫南路与盛意街交口,东向西,盛意街,海鑫南路
276,277,大兴,东环路与兴亦路交叉口,西向东,东环路,兴亦路
277,278,大兴,东环路与兴亦路交叉口,东向西,东环路,兴亦路
278,279,大兴,东环路与兴亦路交叉口,北向南,东环路,兴亦路
279,280,大兴,东环路与柳林路交叉口,南向北,东环路,柳林路
280,281,大兴,东环路与柳林路交叉口,北向南,东环路,柳林路
281,282,大兴,东环路与清平路交叉口,南向北,东环路,清平路
282,283,大兴,东环路与清平路交叉口,北向南,东环路,清平路
283,284,大兴,东环路与枣园路交叉口,南向北,东环路,枣园路
284,285,大兴,东环路与枣园路交叉口,北向南,东环路,枣园路
285,286,大兴,东环路与科苑路交叉口,南向北,东环路,科苑路
286,287,大兴,东环路与科苑路交叉口,北向南,东环路,科苑路
287,288,大兴,东环路与科苑路交叉口,西向东,东环路,科苑路
288,289,大兴,东环路与金苑路交叉口,南向北,东环路,金苑路
289,290,大兴,东环路与金苑路交叉口,北向南,东环路,金苑路
290,291,大兴,东环路与金苑路交叉口,西向东,东环路,金苑路
291,292,大兴,东环路与黄亦路交叉口,南向北,东环路,黄亦路
292,293,大兴,东环路与兴亦路交叉口东北角,全方向,东环路,兴亦路
293,294,大兴,东环路与科苑路交叉口东南角,全方向,东环路,科苑路
294,295,大兴,东环路与金苑路交叉口东北角,全方向,东环路,金苑路
295,296,大兴,东环路与黄亦路交叉口东南角,全方向,东环路,黄亦路
296,297,大兴,槐房西路与金西路交叉口东北角,全方向,槐房西路,金西路
297,298,大兴,青吴路爱情海玫瑰园门前,西向东,青吴路,
298,299,大兴,青吴路爱情海玫瑰园门前,东向西,青吴路,
299,300,大兴,德亦路与团忠路交叉口西北角,南向北,德亦路,团忠路
300,301,大兴,兴政街与市场路交口,东向西,市场路,兴政街
301,302,大兴,黄村西大街公安分局门前,东向西,兴华大街,黄村西大街
302,303,大兴,106国道出京K44+376处（榆垡检查站向南60米）,北向南,106国道,左堤路
303,304,大兴,永华路与佟家场巷交口西北角,全方向,佟家场巷,永华路
304,305,大兴,永华路与佟家场西巷交口西南角,全方向,佟家场巷,佟家场西巷
305,306,大兴,新源大街与佟家场西巷交口西北角,全方向,新源大街,佟家场西巷
306,307,大兴,永华路与锦华北路交口西南角,全方向,锦华北路,永华路
307,308,房山,房山区第一医院门口北,全方向,房窑路,
308,309,房山,房山区第一医院门口南,全方向,房窑路,
309,310,房山,阎安西路绿城百合1,全方向,阎安西路,
310,311,房山,阎安西路绿城百合2,全方向,阎安西路,
311,312,房山,阎安西路绿城百合3,全方向,阎安西路,
312,313,房山,京深路黄良路路口北东侧,全方向,京深路,黄良路
313,314,房山,京深路黄良路路口北西侧,全方向,京深路,黄良路
314,315,房山,京深路黄良路路口西北侧,全方向,京深路,黄良路
315,316,房山,京深路黄良路路口东北侧,全方向,京深路,黄良路
316,317,房山,京深路黄良路路口南西侧,全方向,京深路,黄良路
317,318,房山,京深路黄良路路口南东侧,全方向,京深路,黄良路
318,319,房山,京深路朱岗子村北段西侧,全方向,京深路,
319,320,房山,京深路朱岗子村北段东侧,全方向,京深路,
320,321,房山,京深路朱岗子村南段西侧,全方向,京深路,
321,322,房山,京深路朱岗子村南段东侧,全方向,京深路,
322,323,怀柔,杨雁路与雁栖北一街交叉路口,南向北,杨雁路,雁栖北一街
323,324,怀柔,杨雁路与雁栖北一街交叉路口,北向南,杨雁路,雁栖北一街
324,325,怀柔,杨雁路与京密北二街交叉路口,南向北,杨雁路,雁栖北二街
325,326,怀柔,杨雁路与京密北二街交叉路口,北向南,杨雁路,雁栖北二街
326,327,怀柔,三号路与怀杨路交叉路口,东向西,怀杨路,三号路
327,328,怀柔,三号路与怀杨路交叉路口,西向东,怀杨路,三号路
328,329,门头沟,月季园路西,全方向,月季园路,
329,330,门头沟,月季园路东,全方向,月季园路,
330,331,门头沟,向阳东里南侧路1,全方向,向阳东里南侧路,
331,332,门头沟,向阳东里南侧路2,全方向,向阳东里南侧路,
332,333,门头沟,奥新天地门口,全方向,双峪路,
333,334,门头沟,剧场东街1,全方向,剧场东街,
334,335,门头沟,剧场东街2,全方向,剧场东街,
335,336,门头沟,大峪二小路1,全方向,大峪二小路,
336,337,门头沟,大峪二小路2,全方向,大峪二小路,
337,338,门头沟,黑山大街京客隆,全方向,黑山大街,
338,339,门头沟,民生大厦,全方向,中门寺南路,
339,340,门头沟,承泽苑路国家电网门口,全方向,承泽苑路,
340,341,门头沟,永定中学1,全方向,曹各庄北路,
341,342,门头沟,永定中学2,全方向,曹各庄北路,
342,343,门头沟,三温路龙王庙口1,全方向,京拉线,
343,344,门头沟,三温路龙王庙口2,全方向,京拉线,
344,345,门头沟,石担路永定楼公园,全方向,石担路,
345,346,门头沟,108辅线（石园南路至石门营路）路段1,全方向,108辅线,石园南路
346,347,门头沟,108辅线（石园南路至石门营路）路段2,全方向,108辅线,石门营路
347,348,门头沟,108辅线（石园中路至石园南路）路段1,全方向,108辅线,石园中路
348,349,门头沟,108辅线（石园中路至石园南路）路段2,全方向,108辅线,石园南路
349,350,门头沟,108辅线（石园北路至石园中路）路段1,全方向,108辅线,石园北路
350,351,门头沟,108辅线（石园北路至石园中路）路段2,全方向,108辅线,石园中路
351,352,门头沟,108辅线（紫金北路至紫金路）路段,全方向,108辅线,紫金北路
352,353,门头沟,莲石湖西路石龙管委门口,全方向,莲石湖西路,
353,354,门头沟,石担路（石龙西路至冯石环路路段）,全方向,石担路,石龙西路
354,355,门头沟,成教路（新桥大街至高家园路）路段1,全方向,高家园路,成教路
355,356,门头沟,成教路（新桥大街至高家园路）路段2,全方向,新桥大街,成教路
356,357,门头沟,石担路税务局门口,全方向,石担路,阜石路
357,358,门头沟,双峪路口,全方向,石担路,双峪路
358,359,门头沟,阜石路滨河小区口,全方向,石担路,双峪路
