,序号,区县,名   称,方向,相交道路,Unnamed: 5
0,1,东城,天坛东里南区5号楼南侧对面,全方向,永定门东街,
1,2,东城,北京公交集团保修分公司二厂对面,全方向,永定门东街,
2,3,东城,景泰小学门前东侧,全方向,永定门东街,
3,4,东城,永定门东街天坛南门路口,全方向,永定门东街,
4,5,东城,永定门东街东里7号楼南侧对面,全方向,永定门东街,
5,6,东城,永内东街社区服务站对面,全方向,永定门东街,
6,7,东城,永定门东街中里4号楼南侧对面,全方向,永定门东街,
7,8,东城,永定门东街锦江之星对面,全方向,永定门东街,
8,9,东城,永定门东街西里5号楼南侧,全方向,永定门东街,
9,10,东城,北池子北口西100米,全方向,景山前街,
10,11,东城,东单三条与王府井大街相交口东南角,全方向,王府井大街,东单三条
11,12,东城,东单三条9号,全方向,东单三条,
12,13,东城,鼓楼东大街270号,全方向,鼓楼东大街,
13,14,东城,鼓楼东大街五中分校,全方向,鼓楼东大街,
14,15,东城,鼓楼东大街15号,全方向,鼓楼东大街,
15,16,东城,鼓楼东大街121号,全方向,鼓楼东大街,
16,17,东城,鼓楼东大街与宝钞胡同交叉口,全方向,鼓楼东大街,
17,18,东城,长青园路北口,南向北,长青园路,
18,19,东城,长青园路75M处,全方向,长青园路,
19,20,东城,长青园路225M处,全方向,长青园路,
20,21,东城,长青园路北段南口,全方向,长青园路,
21,22,东城,长青园路南段北口,南向北,长青园路,
22,23,东城,长青园路360M处,南向北,长青园路,
23,24,东城,长青园路470M处,全方向,长青园路,
24,25,东城,长青园路630M处,全方向,长青园路,
25,26,东城,长青园路790M处,全方向,长青园路,
26,27,东城,长青园路950M处,全方向,长青园路,
27,28,东城,长青园路1050M处,全方向,长青园路,
28,29,东城,长青园路南口,南向北,长青园路,
29,30,东城,大羊宜宾胡同西口,西向东,朝阳门南小街,大羊宜宾胡同
30,31,东城,北京站过街桥北,全方向,中粮恒基夹道,北京站东街
31,32,东城,安德利停车场入口,全方向,北京站东街,
32,33,东城,北京站403总站,全方向,北京站东街,
33,34,东城,站东938总站,全方向,北京站东街,
34,35,东城,东交民巷高检信访,全方向,东交民巷,
35,36,东城,最高人民法院,全方向,东交民巷,
36,37,东城,东交民巷派出所,全方向,兴华路,东交民巷
37,38,东城,东交民巷市局北门29号门口,全方向,东交民巷,
38,39,东城,市局北门路北,全方向,东交民巷,
39,40,东城,东交民巷饭店对面,全方向,东交民巷,
40,41,东城,东交民巷19-1门前,全方向,东交民巷,
41,42,东城,北京医院东门,全方向,大华路,
42,43,东城,东交民巷最高法,全方向,东交民巷,
43,44,东城,校尉胡同北口路东向南50米,全方向,校尉胡同,
44,45,东城,协和医院西门对面南侧,全方向,校尉胡同,
45,46,东城,东单三条西口与校尉胡同西北角,全方向,校尉胡同,东单三条
46,47,东城,帅府园胡同东口路北,全方向,校尉胡同,帅府园胡
47,48,东城,煤渣胡同西口北侧,全方向,校尉胡同,煤渣胡同
48,49,东城,王府井希尔顿酒店南侧,全方向,校尉胡同,王府井希
49,50,东城,东单三条东口向西200米路南,全方向,,东单三条
50,51,东城,东单三条东口南侧隔离带,全方向,东单北大街,东单三条
51,52,东城,东单三条西口路北,全方向,王府井大街,东单三条
52,53,东城,东单三条西口北方佳苑饭店对面,全方向,东单三条,
53,54,东城,东单三条东口向西,全方向,东单三条,
54,55,东城,东单三条东口南侧,全方向,东单北大街,东单三条
55,56,东城,王府井大街与东单三条交叉,全方向,王府井大街,东单三条
56,57,东城,龙潭东路向北转弯处,全方向,龙潭东路,龙潭东路
57,58,东城,金鱼胡同与校尉胡同交叉口,全方向,校尉胡同,金鱼胡同
58,59,东城,金鱼胡同与校尉胡同交叉口路,全方向,金鱼胡同,
59,60,东城,国旅大楼门口,全方向,金鱼胡同,
60,61,东城,钟楼北桥北西北角,北向南,鼓楼外大街,安定门西大街
61,62,东城,安定门东大街西口向东150米加油站西侧15米公话亭旁,外环方向,安定门东大街,
